"","interv_cvg_rate","interv_target","contact_rate_mean","interv_start","interv_efficacy","imm_hum_baseline","mn","md","qlo","qhi","n","Vaccination scenario","Vaccination lag","Vaccine efficacy","Final Cum. Incidence","outcome"
"178",300,"priority_age_frailty",1.8,28,0.3,1e-05,0.000199068145259336,0,0,0,188,"Random",4,0.3,0.7,"Hospitalized"
"179",300,"priority_age_frailty",1.8,28,0.6,1e-05,0.000585587293032843,0,-0.00939256198347108,0,188,"Random",4,0.6,0.7,"Hospitalized"
"180",300,"priority_age_frailty",1.8,28,0.9,1e-05,0.00207269081367461,0,-0.0141468253968254,0.00691489361702134,188,"Random",4,0.9,0.7,"Hospitalized"
"181",600,"priority_age_frailty",1,-28,0.3,1e-05,0.050290337473794,0.0676820888685296,-0.5,0.816666666666663,152,"Random",-4,0.3,0.5,"Hospitalized"
"182",600,"priority_age_frailty",1,-28,0.6,1e-05,0.202546987113116,0.201010101010101,-0.528846153846154,1,152,"Random",-4,0.6,0.5,"Hospitalized"
"183",600,"priority_age_frailty",1,-28,0.9,1e-05,0.450924389152799,0.427051671732523,-0.0698564593301435,1,152,"Random",-4,0.9,0.5,"Hospitalized"
"184",600,"priority_age_frailty",1,-14,0.3,1e-05,0.00349934352173667,0.036774628879892,-0.584821428571429,0.471153846153846,176,"Random",-2,0.3,0.5,"Hospitalized"
"185",600,"priority_age_frailty",1,-14,0.6,1e-05,0.10872319134478,0.127016129032258,-0.380952380952381,0.591346153846154,176,"Random",-2,0.6,0.5,"Hospitalized"
"186",600,"priority_age_frailty",1,-14,0.9,1e-05,0.381264828823659,0.359821428571429,-0.247899159663866,1,176,"Random",-2,0.9,0.5,"Hospitalized"
"187",600,"priority_age_frailty",1,0,0.3,1e-05,-0.0337899051398087,0.0153991945036721,-0.613508064516129,0.600555555555555,160,"Random",0,0.3,0.5,"Hospitalized"
"188",600,"priority_age_frailty",1,0,0.6,1e-05,0.00357904963773925,0.0411036036036036,-0.583870967741936,0.445299145299145,160,"Random",0,0.6,0.5,"Hospitalized"
"189",600,"priority_age_frailty",1,0,0.9,1e-05,0.143886964203558,0.165422885572139,-0.335416666666667,0.556349206349206,160,"Random",0,0.9,0.5,"Hospitalized"
"190",600,"priority_age_frailty",1,14,0.3,1e-05,-0.0654937568080492,-0.0233926128590971,-0.676964285714286,0.463461538461538,160,"Random",2,0.3,0.5,"Hospitalized"
"191",600,"priority_age_frailty",1,14,0.6,1e-05,-0.0370747169073582,0.0222249660451908,-0.556349206349206,0.429365079365079,160,"Random",2,0.6,0.5,"Hospitalized"
"192",600,"priority_age_frailty",1,14,0.9,1e-05,0.055584170120127,0.102631578947368,-0.549539170506912,0.501923076923076,160,"Random",2,0.9,0.5,"Hospitalized"
"193",600,"priority_age_frailty",1,28,0.3,1e-05,-0.00129187459130953,0,-0.208090185676393,0.149822695035461,160,"Random",4,0.3,0.5,"Hospitalized"
"194",600,"priority_age_frailty",1,28,0.6,1e-05,-0.0129175781590946,0,-0.225879765395894,0.185484749455338,160,"Random",4,0.6,0.5,"Hospitalized"
"195",600,"priority_age_frailty",1,28,0.9,1e-05,0.0131112241081353,0,-0.25,0.208316430020283,160,"Random",4,0.9,0.5,"Hospitalized"
"196",600,"priority_age_frailty",1.8,-28,0.3,1e-05,-0.0577309744140747,-0.0089031339031339,-0.666666666666667,0.36551282051282,184,"Random",-4,0.3,0.7,"Hospitalized"
"197",600,"priority_age_frailty",1.8,-28,0.6,1e-05,0.0194175476996036,0.0547672392332587,-0.555555555555556,0.5,184,"Random",-4,0.6,0.7,"Hospitalized"
"198",600,"priority_age_frailty",1.8,-28,0.9,1e-05,0.258118373400218,0.291666666666667,-0.330701754385965,0.769230769230769,184,"Random",-4,0.9,0.7,"Hospitalized"
"199",600,"priority_age_frailty",1.8,-14,0.3,1e-05,-0.0639106677649409,0,-0.7825,0.464871794871795,188,"Random",-2,0.3,0.7,"Hospitalized"
"200",600,"priority_age_frailty",1.8,-14,0.6,1e-05,-0.0304791575518816,0.0400284646859989,-0.666666666666667,0.461538461538462,188,"Random",-2,0.6,0.7,"Hospitalized"
"201",600,"priority_age_frailty",1.8,-14,0.9,1e-05,0.191680724299698,0.207111436950147,-0.465394736842105,1,188,"Random",-2,0.9,0.7,"Hospitalized"
